mths N user system elapsed
pca_log 680 0.614000000000001 0.0859999999999999 0.507000000000001
pca_rp 680 0.586 0.0579999999999998 0.402999999999999
pca_rd 680 0.678999999999998 0.0679999999999998 0.581
glmpca 680 3.764 1.797 5.38
zinbwave 680 287.532 36.852 340.636
pca_log 6800 2.43699999999995 0.213000000000001 1.60999999999996
pca_rp 6800 2.20499999999998 0.103999999999999 1.37900000000002
pca_rd 6800 2.83600000000001 0.231000000000002 2.03199999999998
glmpca 6800 42.216 5.754 42.791
zinbwave 6800 868.296 117.122 1004.236
pca_log 68000 31.9189999999999 3.09099999999998 21.6959999999999
pca_rp 68000 31.123 3.06100000000001 19.6679999999999
pca_rd 68000 34.2260000000001 3.881 23.521
glmpca 68000 314.792 104.387 378.306
zinbwave 68000 10023.087 2653.814 12506.385
