dat genefilter num_genes dimreduce dims method k resolution ari silhouette
Zhengmix4eq dev 60 glmpca 10 kmeans 2 NA 0.325941018216306 0.492536023735256
Zhengmix4eq dev 60 glmpca 10 kmeans 3 NA 0.700090328895001 0.598707141636019
Zhengmix4eq dev 60 glmpca 10 kmeans 4 NA 0.809796541635499 0.462678250677544
Zhengmix4eq dev 60 glmpca 10 kmeans 5 NA 0.718549913203161 0.390917927754619
Zhengmix4eq dev 60 glmpca 10 kmeans 6 NA 0.734731464915183 0.364245318983742
Zhengmix4eq dev 60 glmpca 10 kmeans 7 NA 0.66374377914336 0.28558310038898
Zhengmix4eq dev 60 glmpca 10 kmeans 8 NA 0.584549024182599 0.267955061346032
Zhengmix4eq dev 60 glmpca 10 kmeans 9 NA 0.55554876574761 0.276968114842472
Zhengmix4eq dev 60 glmpca 10 kmeans 10 NA 0.519335821404984 0.258566606539858
Zhengmix4eq dev 60 glmpca 10 mclust 2 NA 0.494833982537766 0.441643377082376
Zhengmix4eq dev 60 glmpca 10 mclust 3 NA 0.702599820884996 0.597804837271165
Zhengmix4eq dev 60 glmpca 10 mclust 4 NA 0.893059347931031 0.451713588667046
Zhengmix4eq dev 60 glmpca 10 mclust 5 NA 0.956592668810233 0.376005320798093
Zhengmix4eq dev 60 glmpca 10 mclust 6 NA 0.829111002482149 0.307084859268414
Zhengmix4eq dev 60 glmpca 10 mclust 7 NA 0.774234084916739 0.262878938612353
Zhengmix4eq dev 60 glmpca 10 mclust 8 NA 0.740011454144327 0.223020938717812
Zhengmix4eq dev 60 glmpca 10 mclust 9 NA 0.66767960455651 0.134351323189758
Zhengmix4eq dev 60 glmpca 10 mclust 10 NA 0.572840237146468 0.101740879713737
Zhengmix4eq dev 60 glmpca 10 seurat 3 0.05 0.701710502032909 0.597968345433751
Zhengmix4eq dev 60 glmpca 10 seurat 3 0.1 0.701710502032909 0.597968345433751
Zhengmix4eq dev 60 glmpca 10 seurat 5 0.2 0.905316523511431 0.417794927457826
Zhengmix4eq dev 60 glmpca 10 seurat 5 0.5 0.905002142488819 0.417600795053546
Zhengmix4eq dev 60 glmpca 10 seurat 9 0.8 0.653227619782832 0.26000261346749
Zhengmix4eq dev 60 glmpca 10 seurat 10 1 0.567326772298013 0.234503163655765
Zhengmix4eq dev 60 glmpca 10 seurat 12 1.2 0.468467756253686 0.205481537698646
Zhengmix4eq dev 60 glmpca 10 seurat 13 1.5 0.399838450147247 0.180123225338532
Zhengmix4eq dev 60 glmpca 10 seurat 14 2 0.387150363838892 0.185704040600022
Zhengmix4eq dev 60 glmpca 30 kmeans 2 NA 0.326674368359257 0.388520493093284
Zhengmix4eq dev 60 glmpca 30 kmeans 3 NA 0.694301354417014 0.431972042203773
Zhengmix4eq dev 60 glmpca 30 kmeans 4 NA 0.706212994047075 0.311851587438576
Zhengmix4eq dev 60 glmpca 30 kmeans 5 NA 0.726282802159417 0.297602468478767
Zhengmix4eq dev 60 glmpca 30 kmeans 6 NA 0.626017837239745 0.245314992388478
Zhengmix4eq dev 60 glmpca 30 kmeans 7 NA 0.566860002104777 0.229816971923169
Zhengmix4eq dev 60 glmpca 30 kmeans 8 NA 0.581936883773437 0.230430397790062
Zhengmix4eq dev 60 glmpca 30 kmeans 9 NA 0.556561113707419 0.229012522069652
Zhengmix4eq dev 60 glmpca 30 kmeans 10 NA 0.438980399843321 0.12879916475347
Zhengmix4eq dev 60 glmpca 30 seurat 3 0.05 0.705262756610338 0.432547633528168
Zhengmix4eq dev 60 glmpca 30 seurat 3 0.1 0.705262756610338 0.432547633528168
Zhengmix4eq dev 60 glmpca 30 seurat 4 0.2 0.694245390484715 0.336982253841771
Zhengmix4eq dev 60 glmpca 30 seurat 5 0.5 0.74984036615525 0.227933402675748
Zhengmix4eq dev 60 glmpca 30 seurat 6 0.8 0.747489063069363 0.21973939329105
Zhengmix4eq dev 60 glmpca 30 seurat 7 1 0.598668342676213 0.149157460470112
Zhengmix4eq dev 60 glmpca 30 seurat 10 1.2 0.466991211047851 0.0853130541824936
Zhengmix4eq dev 60 glmpca 30 seurat 12 1.5 0.437537138596935 0.0946021321282005
Zhengmix4eq dev 60 glmpca 30 seurat 14 2 0.336203779752903 0.0756274390592484
Zhengmix4eq dev 60 pca_log 10 kmeans 2 NA 0.325941018216306 0.485364297223849
Zhengmix4eq dev 60 pca_log 10 kmeans 3 NA 0.703968688080115 0.487874681882865
Zhengmix4eq dev 60 pca_log 10 kmeans 4 NA 0.80295708036342 0.384746683768293
Zhengmix4eq dev 60 pca_log 10 kmeans 5 NA 0.721427910256679 0.335762295747302
Zhengmix4eq dev 60 pca_log 10 kmeans 6 NA 0.683126023713738 0.293876915660424
Zhengmix4eq dev 60 pca_log 10 kmeans 7 NA 0.668843621376508 0.294143617261754
Zhengmix4eq dev 60 pca_log 10 kmeans 8 NA 0.639299533337864 0.276291726151316
Zhengmix4eq dev 60 pca_log 10 kmeans 9 NA 0.582918198263491 0.282439110308981
Zhengmix4eq dev 60 pca_log 10 kmeans 10 NA 0.57604247512795 0.278152058581798
Zhengmix4eq dev 60 pca_log 10 mclust 2 NA 0.278660135915517 0.362518608586586
Zhengmix4eq dev 60 pca_log 10 mclust 3 NA 0.591088783148392 0.417495614346276
Zhengmix4eq dev 60 pca_log 10 mclust 4 NA 0.562223160356793 0.409068761061402
Zhengmix4eq dev 60 pca_log 10 mclust 5 NA 0.615531198504584 0.315839654176252
Zhengmix4eq dev 60 pca_log 10 mclust 6 NA 0.568676745144386 0.262057799030001
Zhengmix4eq dev 60 pca_log 10 mclust 7 NA 0.520641899997092 0.146226679539712
Zhengmix4eq dev 60 pca_log 10 mclust 8 NA 0.562430956768478 0.130187479797976
Zhengmix4eq dev 60 pca_log 10 mclust 9 NA 0.518281057591501 0.131284735434499
Zhengmix4eq dev 60 pca_log 10 mclust 10 NA 0.451753306552471 0.10598114701525
Zhengmix4eq dev 60 pca_log 10 seurat 3 0.05 0.692873497153681 0.483561024069654
Zhengmix4eq dev 60 pca_log 10 seurat 3 0.1 0.692873497153681 0.483561024069654
Zhengmix4eq dev 60 pca_log 10 seurat 5 0.2 0.879794085199675 0.331776933036485
Zhengmix4eq dev 60 pca_log 10 seurat 8 0.5 0.765044118386979 0.231390201034188
Zhengmix4eq dev 60 pca_log 10 seurat 12 0.8 0.547990544406135 0.114612837879489
Zhengmix4eq dev 60 pca_log 10 seurat 13 1 0.50808972888408 0.119122374002445
Zhengmix4eq dev 60 pca_log 10 seurat 13 1.2 0.496419964361691 0.119503746692706
Zhengmix4eq dev 60 pca_log 10 seurat 14 1.5 0.461109434852944 0.127134117600506
Zhengmix4eq dev 60 pca_log 10 seurat 17 2 0.388664103709936 0.125432446394555
Zhengmix4eq dev 60 pca_log 30 kmeans 2 NA 0.325941018216306 0.38279275130347
Zhengmix4eq dev 60 pca_log 30 kmeans 3 NA 0.703968688080115 0.310179866120427
Zhengmix4eq dev 60 pca_log 30 kmeans 4 NA 0.819249999587162 0.211609259782922
Zhengmix4eq dev 60 pca_log 30 kmeans 5 NA 0.741937463498421 0.20364790154079
Zhengmix4eq dev 60 pca_log 30 kmeans 6 NA 0.664441078936402 0.172006720313516
Zhengmix4eq dev 60 pca_log 30 kmeans 7 NA 0.646465881820736 0.167078681222205
Zhengmix4eq dev 60 pca_log 30 kmeans 8 NA 0.648222333854401 0.168218105776339
Zhengmix4eq dev 60 pca_log 30 kmeans 9 NA 0.632830923446934 0.143366965068899
Zhengmix4eq dev 60 pca_log 30 kmeans 10 NA 0.540851750574856 0.128518363427141
Zhengmix4eq dev 60 pca_log 30 seurat 5 0.05 0.607671335870491 0.211807066627401
Zhengmix4eq dev 60 pca_log 30 seurat 6 0.1 0.604744286857277 0.233760822819514
Zhengmix4eq dev 60 pca_log 30 seurat 8 0.2 0.562972290363609 0.157655435193016
Zhengmix4eq dev 60 pca_log 30 seurat 11 0.5 0.538695619620979 0.137538610753778
Zhengmix4eq dev 60 pca_log 30 seurat 13 0.8 0.40319587011925 0.107808816437896
Zhengmix4eq dev 60 pca_log 30 seurat 14 1 0.34557704406415 0.0850424394503937
Zhengmix4eq dev 60 pca_log 30 seurat 17 1.2 0.315753943752794 0.0608193427611012
Zhengmix4eq dev 60 pca_log 30 seurat 19 1.5 0.273269464464061 0.0541415324233717
Zhengmix4eq dev 60 pca_log 30 seurat 23 2 0.249878206295178 0.0544787075939577
Zhengmix4eq dev 60 pca_rd 10 kmeans 2 NA 0.323473325673175 0.463455437720034
Zhengmix4eq dev 60 pca_rd 10 kmeans 3 NA 0.70244508304782 0.416223604340088
Zhengmix4eq dev 60 pca_rd 10 kmeans 4 NA 0.685220510049095 0.435267925679724
Zhengmix4eq dev 60 pca_rd 10 kmeans 5 NA 0.886463308773784 0.420920147249209
